WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;;
JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;001;003;0,00446061;40 cm;2;YES;nan;2021-06-04 18:00:20;2021-06-04 18:00;;
JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;011;002;0,00725819;40 cm;2;YES;nan;2021-06-04 18:00:20;2021-06-04 18:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;004;011;0,02688579;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;002;010;0,04890982;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;008;010;0,03426088;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;006;010;0,03356912;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;001;010;0,04098124;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;012;010;0,04015388;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;001;011;0,01679999;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;005;011;0,02246772;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;007;011;0,01203962;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;002;011;0,01387676;40 cm;2;YES;nan;2022-01-20 0:00:18;2022-01-20 00:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;004;0,00275061;70 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;016;008;0,00087766;40 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;014;008;0,00193124;40 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;005;0,00279842;70 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;011;005;0,00227763;70 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;015;008;0,00346073;40 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;008;0,0026317;40 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;006;008;0,00355319;40 cm;2;YES;curah hujan tinggi dan luapan sungai ciliwung;2021-08-01 9:00:21;2021-08-01 09:00;;
